0,Argentina,2.5,3.13,0.78,1.0,-67.92
1,Australia,3.0,1.86,1.62,1.2,-35.22
2,Brazil,3.6,2.34,1.55,1.45,-38.21
3,Britain,1.99,0.69,2.88,0.8,15.88
4,Canada,3.33,1.57,2.12,1.34,-14.82
5,Chile,1400.0,655.0,2.16,562.25,-14.16
6,China,10.5,8.28,1.27,4.22,-49.07
7,Colombia,,,,,
8,Costa Rica,,,,,
9,Czech Republic,56.28,34.0,1.66,22.6,-33.52
10,Denmark,24.75,8.38,2.96,9.94,18.61
11,Egypt,,,,,
12,Euro area,2.67,1.12,2.37,1.07,-4.57
13,Hong Kong,11.2,8.0,1.4,4.5,-43.78
14,Hungary,459.0,272.0,1.69,184.34,-32.23
15,India,,,,,
16,Indonesia,16000.0,9430.0,1.71,6425.7,-31.86
17,Israel,12.0,4.79,2.51,4.82,0.61
18,Japan,262.0,130.0,2.01,105.22,-19.06
19,Latvia,,,,,
20,Lithuania,,,,,
21,Malaysia,5.04,3.8,1.33,2.02,-46.73
22,Mexico,21.9,9.28,2.37,8.8,-5.22
23,New Zealand,3.6,2.24,1.77,1.45,-35.46
24,Norway,35.0,8.56,4.09,14.06,64.21
25,Pakistan,,,,,
26,Peru,8.5,3.43,2.48,3.41,-0.48
27,Philippines,65.0,51.0,1.28,26.1,-48.81
28,Poland,5.9,4.04,1.46,2.37,-41.35
29,Russia,39.0,31.2,1.25,15.66,-49.8
30,Saudi Arabia,,,,,
31,Singapore,3.3,1.82,1.81,1.33,-27.18
32,South Africa,9.7,10.9,0.87,3.9,-64.26
33,South Korea,3100.0,1304.0,2.36,1244.98,-4.53
34,Sri Lanka,,,,,
35,Sweden,26.0,10.4,2.52,10.44,0.4
36,Switzerland,6.3,1.66,3.81,2.53,52.42
37,Taiwan,70.0,34.8,2.01,28.11,-19.22
38,Thailand,55.0,43.3,1.27,22.09,-48.99
39,Turkey,4000000.0,1324500.0,3.06,1606425.7,21.29
40,UAE,,,,,
41,Ukraine,,,,,
42,United States,2.49,1.0,2.49,1.0,0.0
43,Uruguay,,,,,
44,Venezuela,2500.0,857.0,2.92,1004.02,17.15
